name,doi,Abstract,keywords,URL,key,Algorithm used,Accuracy,base network/provided network,github,application,Dataset,Notes,favourite,Category
"N. Wu et al., ""Deep Neural Networks Improve Radiologists’ Performance in Breast Cancer Screening,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 4, pp. 1184-1194, April 2020.",doi: 10.1109/TMI.2019.2945514,"Abstract: We present a deep convolutional neural network for breast cancer screening exam classification, trained, and evaluated on over 200000 exams (over 1000000 images). Our network achieves an AUC of 0.895 in predicting the presence of cancer in the breast, when tested on the screening population. We attribute the high accuracy to a few technical advances. 1) Our network's novel two-stage architecture and training procedure, which allows us to use a high-capacity patch-level network to learn from pixel-level labels alongside a network learning from macroscopic breast-level labels. 2) A custom ResNet-based network used as a building block of our model, whose balance of depth and width is optimized for high-resolution medical images. 3) Pretraining the network on screening BI-RADS classification, a related task with more noisy labels. 4) Combining multiple input views in an optimal way among a number of possible choices. To validate our model, we conducted a reader study with 14 readers, each reading 720 screening mammogram exams, and show that our model is as accurate as experienced radiologists when presented with the same data. We also show that a hybrid model, averaging the probability of malignancy predicted by a radiologist with a prediction of our neural network, is more accurate than either of the two separately. To further understand our results, we conduct a thorough analysis of our network's performance on different subpopulations of the screening population, the model's design, training procedure, errors, and properties of its internal representations. Our best models are publicly available at https://github.com/nyukat/breast_cancer_classifier.","keywords: {cancer;convolutional neural nets;image classification;image resolution;learning (artificial intelligence);mammography;medical image processing;probability;probability;network learning;breast cancer screening exam classification;deep convolutional neural network;radiologist performance;hybrid model;experienced radiologists;screening mammogram exams;noisy labels;screening BI-RADS classification;high-resolution medical images;custom ResNet-based network;macroscopic breast-level labels;pixel-level labels;high-capacity patch-level network;training procedure;two-stage architecture;technical advances;screening population;Breast cancer;Task analysis;Biomedical imaging;Predictive models;Training;Deep learning;deep convolutional neural networks;breast cancer screening;mammography},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8861376&isnumber=9055242,1,CNN,0.895 AUC,ResNet,GitHub - nyukat/breast_cancer_classifier: Deep Neural Networks Improve Radiologists' Performance in Breast Cancer Screening,radiology: breast cancer detection,,,,1
"T. Lin, P. Goyal, R. Girshick, K. He and P. Dollár, ""Focal Loss for Dense Object Detection,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 2, pp. 318-327, 1 Feb. 2020.",doi: 10.1109/TPAMI.2018.2858826,"Abstract: The highest accuracy object detectors to date are based on a two-stage approach popularized by R-CNN, where a classifier is applied to a sparse set of candidate object locations. In contrast, one-stage detectors that are applied over a regular, dense sampling of possible object locations have the potential to be faster and simpler, but have trailed the accuracy of two-stage detectors thus far. In this paper, we investigate why this is the case. We discover that the extreme foreground-background class imbalance encountered during training of dense detectors is the central cause. We propose to address this class imbalance by reshaping the standard cross entropy loss such that it down-weights the loss assigned to well-classified examples. Our novel Focal Loss focuses training on a sparse set of hard examples and prevents the vast number of easy negatives from overwhelming the detector during training. To evaluate the effectiveness of our loss, we design and train a simple dense detector we call RetinaNet. Our results show that when trained with the focal loss, RetinaNet is able to match the speed of previous one-stage detectors while surpassing the accuracy of all existing state-of-the-art two-stage detectors. Code is at: https://github.com/facebookresearch/Detectron.","keywords: {convolutional neural nets;entropy;image classification;image segmentation;learning (artificial intelligence);object detection;dense sampling;cross entropy loss;focal loss;dense object detection;classifier;foreground-background class imbalance;R-CNN;RetinaNet;convolutional neural networks;machine leaming;Detectors;Training;Object detection;Entropy;Proposals;Convolutional neural networks;Feature extraction;Computer vision;object detection;machine learning;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8417976&isnumber=8952810,2,CNN,40 AP,"RetinaNet, ResNet, FPN","GitHub - facebookresearch/Detectron: FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet.",,COCO,,1,
"K. He, G. Gkioxari, P. Dollár and R. Girshick, ""Mask R-CNN,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 2, pp. 386-397, 1 Feb. 2020.",doi: 10.1109/TPAMI.2018.2844175,"Abstract: We present a conceptually simple, flexible, and general framework for object instance segmentation. Our approach efficiently detects objects in an image while simultaneously generating a high-quality segmentation mask for each instance. The method, called Mask R-CNN, extends Faster R-CNN by adding a branch for predicting an object mask in parallel with the existing branch for bounding box recognition. Mask R-CNN is simple to train and adds only a small overhead to Faster R-CNN, running at 5 fps. Moreover, Mask R-CNN is easy to generalize to other tasks, e.g., allowing us to estimate human poses in the same framework. We show top results in all three tracks of the COCO suite of challenges, including instance segmentation, bounding-box object detection, and person keypoint detection. Without bells and whistles, Mask R-CNN outperforms all existing, single-model entries on every task, including the COCO 2016 challenge winners. We hope our simple and effective approach will serve as a solid baseline and help ease future research in instance-level recognition. Code has been made available at: https://github.com/facebookresearch/Detectron.","keywords: {convolutional neural nets;image segmentation;object detection;object recognition;pose estimation;Faster R-CNN;Mask R-CNN;object mask;bounding-box object detection;flexible framework;object instance segmentation;high-quality segmentation mask;bounding box recognition;human pose estimation;COCO suite;person keypoint detection;instance-level recognition;Task analysis;Semantics;Feature extraction;Object detection;Proposals;Image segmentation;Quantization (signal);Instance segmentation;object detection;pose estimation;convolutional neural network},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8372616&isnumber=8952810,3,R-CNN,37 AP,"ResNet, FPN","GitHub - facebookresearch/Detectron: FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet.",,COCO,,2,
"S. Dey, A. K. Singh, D. K. Prasad and K. D. Mcdonald-Maier, ""IRON-MAN: An Approach to Perform Temporal Motionless Analysis of Video Using CNN in MPSoC,"" in IEEE Access, vol. 8, pp. 137101-137115, 2020.",doi: 10.1109/ACCESS.2020.3010185,"Abstract: This paper proposes a novel human-inspired methodology called IRON-MAN (Integrated RatiONal prediction and Motionless ANalysis) for mobile multi-processor systems-on-chips (MPSoCs). The methodology integrates analysis of the previous image frames of the video to represent the analysis of the current frame in order to perform Temporal Motionless Analysis of the Video (TMAV). This is the first work on TMAV using Convolutional Neural Network (CNN) for scene prediction in MPSoCs. Experimental results show that our methodology outperforms state-of-the-art. We also introduce a metric named, Energy Consumption per Training Image (ECTI) to assess the suitability of using a CNN model in mobile MPSoCs with a focus on energy consumption and lifespan reliability of the device.","keywords: {convolutional neural nets;image segmentation;learning (artificial intelligence);multiprocessing systems;system-on-chip;video signal processing;CNN model;mobile MPSoCs;energy consumption;IRON-MAN;MPSoC;mobile multiprocessor systems-on-chips;image frames;TMAV;convolutional neural network;scene prediction;human-inspired methodology;integrated rational prediction and motionless analysis;temporal motionless analysis of the video;Streaming media;Predictive models;Cameras;Energy consumption;Reliability;Analytical models;Convolutional neural networks;Convolutional neural network (CNN);temporal analysis;motionless analysis;video;lifespan;reliability;energy efficiency;embedded device;multiprocessor systems-on-chip (MPSoCs)},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9144173&isnumber=8948470,4,CNN,0.795,CNN,,Wifi roads surveilance ,UCSD,,,
"C. Luo, J. Ji, Q. Wang, X. Chen and P. Li, ""Channel State Information Prediction for 5G Wireless Communications: A Deep Learning Approach,"" in IEEE Transactions on Network Science and Engineering, vol. 7, no. 1, pp. 227-236, 1 Jan.-March 2020.",doi: 10.1109/TNSE.2018.2848960,"Abstract: Channel state information (CSI) estimation is one of the most fundamental problems in wireless communication systems. Various methods, so far, have been developed to conduct CSI estimation. However, they usually require high computational complexity, which makes them unsuitable for 5G wireless communications due to employing many new techniques (e.g., massive MIMO, OFDM, and millimeter-Wave (mmWave)). In this paper, we propose an efficient online CSI prediction scheme, called OCEAN, for predicting CSI from historical data in 5G wireless communication systems. Specifically, we first identify several important features affecting the CSI of a radio link and a data sample consists of the information of the features and the CSI. We then design a learning framework that is an integration of a CNN (convolutional neural network) and a long short term with memory (LSTM) network. We also further develop an offline-online two-step training mechanism, enabling the prediction results to be more stable when applying it to practical 5G wireless communication systems. To validate OCEAN's efficacy, we consider four typical case studies, and conduct extensive experiments in the four scenarios, i.e., two outdoor and two indoor scenarios. The experiment results show that OCEAN not only obtains the predicted CSI values very quickly but also achieves highly accurate CSI prediction with up to 2.650-3.457 percent average difference ratio (ADR) between the predicted and measured CSI.","keywords: {5G mobile communication;channel estimation;computational complexity;convolutional neural nets;learning (artificial intelligence);radio links;telecommunication computing;wireless channels;average difference ratio;convolutional neural network;CNN;long short term with memory network;efficient online CSI prediction scheme;CSI estimation;channel state information estimation;deep learning approach;channel state information prediction;highly accurate CSI prediction;wireless communication systems;Wireless communication;5G mobile communication;Estimation;Channel estimation;MIMO communication;Oceans;Fading channels;Channel state estimation;5G wireless communications;deep learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8395053&isnumber=9025091,5,LSTM,,CNN,,,,Network,,
"A. Waheed, M. Goyal, D. Gupta, A. Khanna, F. Al-Turjman and P. R. Pinheiro, ""CovidGAN: Data Augmentation Using Auxiliary Classifier GAN for Improved Covid-19 Detection,"" in IEEE Access, vol. 8, pp. 91916-91923, 2020.",doi: 10.1109/ACCESS.2020.2994762,"Abstract: Coronavirus (COVID-19) is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The spread of COVID-19 seems to have a detrimental effect on the global economy and health. A positive chest X-ray of infected patients is a crucial step in the battle against COVID-19. Early results suggest that abnormalities exist in chest X-rays of patients suggestive of COVID-19. This has led to the introduction of a variety of deep learning systems and studies have shown that the accuracy of COVID-19 patient detection through the use of chest X-rays is strongly optimistic. Deep learning networks like convolutional neural networks (CNNs) need a substantial amount of training data. Because the outbreak is recent, it is difficult to gather a significant number of radiographic images in such a short time. Therefore, in this research, we present a method to generate synthetic chest X-ray (CXR) images by developing an Auxiliary Classifier Generative Adversarial Network (ACGAN) based model called CovidGAN. In addition, we demonstrate that the synthetic images produced from CovidGAN can be utilized to enhance the performance of CNN for COVID-19 detection. Classification using CNN alone yielded 85% accuracy. By adding synthetic images produced by CovidGAN,the accuracy increased to 95%. We hope this method will speed up COVID-19 detection and lead to more robust systems of radiology.","keywords: {diagnostic radiography;diseases;image classification;learning (artificial intelligence);medical image processing;microorganisms;molecular biophysics;neural nets;CovidGAN;synthetic images;auxiliary classifier GAN;improved Covid-19 detection;severe acute respiratory syndrome coronavirus 2;SARS-CoV-2;positive chest X-ray;deep learning systems;COVID-19 patient detection;deep learning networks;synthetic chest X-ray images;auxiliary classifier generative adversarial network based model;Generative adversarial networks;Training;Biomedical imaging;X-ray imaging;Computer architecture;Machine learning;COVID-19;Deep learning;convolutional neural networks;generative adversarial networks;synthetic data augmentation;COVID-19 detection},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9093842&isnumber=8948470,6,GAN,from .85 to .95,ACGAN,,Generating Covid-19 X-rays for better CNN models,,,,
"Y. Oh, S. Park and J. C. Ye, ""Deep Learning COVID-19 Features on CXR Using Limited Training Data Sets,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 8, pp. 2688-2700, Aug. 2020.",doi: 10.1109/TMI.2020.2993291,"Abstract: Under the global pandemic of COVID-19, the use of artificial intelligence to analyze chest X-ray (CXR) image for COVID-19 diagnosis and patient triage is becoming important. Unfortunately, due to the emergent nature of the COVID-19 pandemic, a systematic collection of CXR data set for deep neural network training is difficult. To address this problem, here we propose a patch-based convolutional neural network approach with a relatively small number of trainable parameters for COVID-19 diagnosis. The proposed method is inspired by our statistical analysis of the potential imaging biomarkers of the CXR radiographs. Experimental results show that our method achieves state-of-the-art performance and provides clinically interpretable saliency maps, which are useful for COVID-19 diagnosis and patient triage.","keywords: {convolutional neural nets;diagnostic radiography;diseases;learning (artificial intelligence);medical image processing;patient diagnosis;statistical analysis;limited training data;chest X-ray image;COVID-19 diagnosis;patient triage;COVID-19 pandemic;deep neural network training;patch-based convolutional neural network approach;CXR radiographs;deep learning COVID-19 features;trainable parameters;imaging biomarkers;Lung;Diseases;Image segmentation;Training;Neural networks;Sensitivity;Computed tomography;COVID-19;COVID-19;chest X-ray;deep learning;segmentation;classification;saliency map;Algorithms;Betacoronavirus;Coronavirus Infections;Deep Learning;Humans;Image Interpretation, Computer-Assisted;Lung;Pandemics;Pneumonia, Viral;Radiography, Thoracic},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9090149&isnumber=9153182,7,CNN,,ResNet,,Classifying COVID through X-Rays,"JSTR, NLM, CXR",,,
"S. Khan Tayyaba et al., ""5G Vehicular Network Resource Management for Improving Radio Access Through Machine Learning,"" in IEEE Access, vol. 8, pp. 6792-6800, 2020.",doi: 10.1109/ACCESS.2020.2964697,"Abstract: The current cellular technology and vehicular networks cannot satisfy the mighty strides of vehicular network demands. Resource management has become a complex and challenging objective to gain expected outcomes in a vehicular environment. The 5G cellular network promises to provide ultra-high-speed, reduced delay, and reliable communications. The development of new technologies such as the network function virtualization (NFV) and software defined networking (SDN) are critical enabling technologies leveraging 5G. The SDN-based 5G network can provide an excellent platform for autonomous vehicles because SDN offers open programmability and flexibility for new services incorporation. This separation of control and data planes enables centralized and efficient management of resources in a very optimized and secure manner by having a global overview of the whole network. The SDN also provides flexibility in communication administration and resource management, which are of critical importance when considering the ad-hoc nature of vehicular network infrastructures, in terms of safety, privacy, and security, in vehicular network environments. In addition, it promises the overall improved performance. In this paper, we propose a flow-based policy framework on the basis of two tiers virtualization for vehicular networks using SDNs. The vehicle to vehicle (V2V) communication is quite possible with wireless virtualization where different radio resources are allocated to V2V communications based on the flow classification, i.e., safety-related flow or non-safety flows, and the controller is responsible for managing the overall vehicular environment and V2X communications. The motivation behind this study is to implement a machine learning-enabled architecture to cater the sophisticated demands of modern vehicular Internet infrastructures. The inclination towards robust communications in 5G-enabled networks has made it somewhat tricky to manage network slicing efficiently. This paper also presents a proof of concept for leveraging machine learning-enabled resource classification and management through experimental evaluation of special-purpose testbed established in custom mininet setup. Furthermore, the results have been evaluated using Long Short-Term Memory (LSTM), Convolutional Neural Network (CNN), and Deep Neural Network (DNN). While concluding the paper, it is shown that the LSTM has outperformed the rest of classification techniques with promising results.","keywords: {5G mobile communication;computer network management;computer network reliability;convolutional neural nets;Internet;learning (artificial intelligence);mobility management (mobile radio);radio access networks;resource allocation;software defined networking;vehicular ad hoc networks;virtualisation;software defined networking;vehicular network environments;resource classification;convolutional neural network;deep neural network;5G vehicular network resource management;SDN-based 5G cellular network;vehicular Internet infrastructures;machine learning;radio access network;NFV;network function virtualization;flow-based policy framework;vehicle to vehicle communication;V2V communication;wireless virtualization;LSTM;long short-term memory;CNN;DNN;Resource management;5G mobile communication;Computer architecture;Wireless communication;Machine learning;Ad hoc networks;Communication system security;Future internet architectures;machine learning;network reliability;privacy;resource management;security;software defined networks;vehicular networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8951149&isnumber=8948470,8,LSTM,0.9936,LSTM,,,,Network,,
"W. Shi, F. Jiang, S. Liu and D. Zhao, ""Image Compressed Sensing Using Convolutional Neural Network,"" in IEEE Transactions on Image Processing, vol. 29, pp. 375-388, 2020.",doi: 10.1109/TIP.2019.2928136,"Abstract: In the study of compressed sensing (CS), the two main challenges are the design of sampling matrix and the development of reconstruction method. On the one hand, the usually used random sampling matrices (e.g., GRM) are signal independent, which ignore the characteristics of the signal. On the other hand, the state-of-the-art image CS methods (e.g., GSR and MH) achieve quite good performance, however with much higher computational complexity. To deal with the two challenges, we propose an image CS framework using convolutional neural network (dubbed CSNet) that includes a sampling network and a reconstruction network, which are optimized jointly. The sampling network adaptively learns the sampling matrix from the training images, which makes the CS measurements retain more image structural information for better reconstruction. Specifically, three types of sampling matrices are learned, i.e., floating-point matrix, {0, 1}-binary matrix, and {-1, +1}-bipolar matrix. The last two matrices are specially designed for easy storage and hardware implementation. The reconstruction network, which contains a linear initial reconstruction network and a non-linear deep reconstruction network, learns an end-to-end mapping between the CS measurements and the reconstructed images. Experimental results demonstrate that CSNet offers state-of-the-art reconstruction quality, while achieving fast running speed. In addition, CSNet with {0, 1}-binary matrix, and {-1, +1}-bipolar matrix gets comparable performance with the existing deep learning-based CS methods, outperforms the traditional CS methods. Experimental results further suggest that the learned sampling matrices can improve the traditional image CS reconstruction methods significantly.","keywords: {compressed sensing;convolutional neural nets;image reconstruction;image sampling;learning (artificial intelligence);matrix algebra;optimisation;image compressed sensing;convolutional neural network;sampling matrix design;reconstruction method development;sampling network;joint optimisation;network adaptive learning;image structural information;sampling matrices;floating-point matrix;binary matrix;bipolar matrix;nonlinear deep reconstruction network;end-to-end mapping;Image reconstruction;Reconstruction algorithms;Matching pursuit algorithms;Deep learning;Computational complexity;Hardware;Compressed sensing;Compressed sensing;deep learning;convolutional neural network;sampling matrix;image reconstruction},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8765626&isnumber=8835130,9,CNN,,CNN,,,,X,,
"R. Wang, B. Li, S. Hu, W. Du and M. Zhang, ""Knowledge Graph Embedding via Graph Attenuated Attention Networks,"" in IEEE Access, vol. 8, pp. 5212-5224, 2020.",doi: 10.1109/ACCESS.2019.2963367,"Abstract: Knowledge graphs contain a wealth of real-world knowledge that can provide strong support for artificial intelligence applications. Much progress has been made in knowledge graph completion, state-of-the-art models are based on graph convolutional neural networks. These models automatically extract features, in combination with the features of the graph model, to generate feature embeddings with a strong expressive ability. However, these methods assign the same weights on the relation path in the knowledge graph and ignore the rich information presented in neighbor nodes, which result in incomplete mining of triple features. To this end, we propose Graph Attenuated Attention networks(GAATs), a novel representation method, which integrates an attenuated attention mechanism to assign different weight in different relation path and acquire the information from the neighborhoods. As a result, entities and relations can be learned in any neighbors. Our empirical research provides insight into the effectiveness of the attenuated attention-based models, and we show significant improvement compared to the state-of-the-art methods on two benchmark datasets WN18RR and FB15k-237.","keywords: {convolutional neural nets;feature extraction;graph theory;learning (artificial intelligence);artificial intelligence applications;knowledge graph completion;graph convolutional neural networks;feature embeddings;attention mechanism;relation path;attention-based models;knowledge graph embedding;graph attenuated attention networks;Neural networks;Knowledge engineering;Tensors;Feature extraction;Convolution;Adaptation models;Semantics;Knowledge graph embedding;attenuated attention mechanism;neighbor nodes;translational model;graph attention networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8946600&isnumber=8948470,10,CapsE,,GAAT,,Knowledge graph relations,"WN18RR, FB15k-237",?,,
